The shortest path from (0, 0) to (99, 99) is 420.
Path:
(0, 0)
(1, 0)
(1, 1)
(2, 1)
(2, 2)
(2, 3)
(3, 3)
(3, 4)
(3, 5)
(4, 5)
(4, 6)
(4, 7)
(4, 8)
(3, 8)
(3, 9)
(3, 10)
(3, 11)
(3, 12)
(4, 12)
(5, 12)
(5, 13)
(5, 14)
(6, 14)
(6, 15)
(6, 16)
(7, 16)
(7, 17)
(8, 17)
(8, 18)
(8, 19)
(8, 20)
(8, 21)
(8, 22)
(8, 23)
(8, 24)
(9, 24)
(10, 24)
(11, 24)
(12, 24)
(13, 24)
(14, 24)
(15, 24)
(15, 25)
(16, 25)
(16, 26)
(17, 26)
(17, 27)
(17, 28)
(18, 28)
(19, 28)
(19, 29)
(19, 30)
(19, 31)
(20, 31)
(20, 32)
(20, 33)
(21, 33)
(21, 34)
(22, 34)
(23, 34)
(23, 35)
(24, 35)
(25, 35)
(25, 36)
(26, 36)
(26, 37)
(27, 37)
(27, 38)
(27, 39)
(27, 40)
(27, 41)
(27, 42)
(28, 42)
(28, 43)
(28, 44)
(29, 44)
(30, 44)
(31, 44)
(31, 45)
(31, 46)
(31, 47)
(32, 47)
(32, 48)
(32, 49)
(32, 50)
(32, 51)
(32, 52)
(32, 53)
(33, 53)
(34, 53)
(35, 53)
(36, 53)
(37, 53)
(37, 54)
(37, 55)
(37, 56)
(38, 56)
(39, 56)
(39, 57)
(40, 57)
(41, 57)
(41, 58)
(42, 58)
(42, 59)
(43, 59)
(44, 59)
(44, 60)
(45, 60)
(46, 60)
(47, 60)
(47, 61)
(47, 62)
(47, 63)
(46, 63)
(46, 64)
(46, 65)
(47, 65)
(48, 65)
(48, 66)
(49, 66)
(49, 67)
(49, 68)
(49, 69)
(50, 69)
(51, 69)
(52, 69)
(52, 70)
(52, 71)
(52, 72)
(53, 72)
(54, 72)
(54, 73)
(54, 74)
(54, 75)
(55, 75)
(55, 76)
(56, 76)
(56, 77)
(57, 77)
(57, 78)
(58, 78)
(58, 79)
(58, 80)
(59, 80)
(59, 81)
(59, 82)
(59, 83)
(59, 84)
(59, 85)
(60, 85)
(61, 85)
(62, 85)
(63, 85)
(64, 85)
(65, 85)
(66, 85)
(66, 86)
(66, 87)
(66, 88)
(67, 88)
(68, 88)
(69, 88)
(69, 89)
(69, 90)
(70, 90)
(70, 91)
(71, 91)
(72, 91)
(73, 91)
(74, 91)
(75, 91)
(76, 91)
(77, 91)
(78, 91)
(78, 92)
(78, 93)
(79, 93)
(80, 93)
(81, 93)
(81, 94)
(82, 94)
(83, 94)
(84, 94)
(85, 94)
(86, 94)
(87, 94)
(88, 94)
(89, 94)
(90, 94)
(90, 95)
(91, 95)
(91, 96)
(92, 96)
(93, 96)
(94, 96)
(95, 96)
(95, 97)
(95, 98)
(96, 98)
(97, 98)
(97, 99)
(98, 99)
(99, 99)
